series_id,date,condition,short_label,speed_rpm,run,event_index,time_s,thump_level_est_dba,event_energy_est_dba,raw_peak_est_dba,background_est_dba,exhaust_ratio_db,wav,normalized_thump_peak_db,normalized_event_energy_db
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,1,0.5,84.86066979895463,84.01206953963194,84.86066979895463,-282.7858061972788,4.096619026206454,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,74.92404492673838,74.07544466741568
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,2,1.92,89.13845035527159,85.14231650950043,89.29913901478164,74.90105157523485,0.43741072578272266,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,79.20182548305533,75.20569163728418
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,3,3.8,83.67860222517535,67.83457969080996,83.9935032413047,72.44090157568303,5.367376528079156,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,73.7419773529591,57.8979548185937
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,4,4.36,89.17318461393201,86.24677740084189,89.40211887376543,76.50741934849464,0.5726759063857472,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,79.23655974171575,76.31015252862564
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,5,5.26,86.3533288722375,84.93455405806296,86.72445891576338,75.85763329417398,1.342158112902755,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,76.41670400002124,74.9979291858467
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,6,6.78,88.74986882374176,84.69493172375778,88.95772890437692,75.65408117849121,0.6271099808114045,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,78.81324395152551,74.75830685154152
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,7,7.7,85.66364759790844,84.7886782661005,86.00073183829193,74.7328211733606,1.753343977461249,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,75.72702272569218,74.85205339388425
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,8,8.92,91.76869888585574,88.19003768585247,91.87535167634645,75.7240135279904,-0.930921772061275,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,81.83207401363948,78.25341281363622
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,9,9.92,87.55785138071701,86.16053915744429,87.85377596769865,76.0406211989422,-0.7744918476208653,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,77.62122650850075,76.22391428522803
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,10,11.14,93.54929226689038,91.1727062229743,93.63420691032695,76.5038015567077,-2.3600133510400667,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,83.61266739467412,81.23608135075804
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,11,12.04,85.67125124424082,85.51879318338939,86.28338405762992,77.4715255219275,1.91798761839312,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,75.73462637202456,75.58216831117313
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,12,13.46,89.30557844200014,84.80572111451312,89.45411378115861,74.72051259090965,-1.6697556234787783,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,79.36895356978388,74.86909624229686
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,13,14.38,84.99233237811318,84.0829680275026,85.38223946697433,74.72051259090965,2.4915817722388276,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,75.05570750589692,74.14634315528635
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,14,15.7,89.31385504597557,85.77817655396905,89.469542517639,74.93662487221626,-0.5054535750503462,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,79.37723017375932,75.84155168175279
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,15,16.7,86.58728638740105,83.77822602394161,86.87454692350019,74.93662487221626,-0.04044027787763582,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,76.6506615151848,73.84160115172536
FR_0716_CYL_900,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,16,18.14,86.42339317330651,83.6976331479988,86.67934436375982,74.25572569519301,-0.14315977058050677,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_900.wav,76.48676830109025,73.76100827578254
